Vessel,Activity,Humboldt emissions (tons),Brookings emissions (tons),Reedsport emissions (tons),RogueRiver emissions (tons),Humboldt 2 emissions (tons),CrescentCity_ctv emissions (tons),Diablo_ctv emissions (tons),Ilwaco_ctv emissions (tons),MorroBay_ctv emissions (tons),Westport_ctv emissions (tons),Bandon emissions (tons),CrescentCity_H emissions (tons),Diablo_SL emissions (tons),Ellwood_SL emissions (tons),Ilwaco emissions (tons),MorroBay_SL emissions (tons),Newport emissions (tons),Oakland_H emissions (tons),PillarPoint_SL emissions (tons),Richmond_H emissions (tons),Westport emissions (tons),Crescent_City_2 emissions (tons)
aht,idle at port,918.8023909815879,613.2443317760234,650.9702303609168,710.5658164996713,918.8023909815879,1033.6587951327522,917.6529821811456,979.1251558674097,747.271088839729,706.4545909865537,827.9454070917676,968.4747947162192,874.3454781077995,873.5177099644844,892.4302750105896,942.497093586643,887.9689000149757,905.7368948047109,854.5980458282476,905.7368948047109,963.2229825620228,968.4747947162192
aht,idle at site,432.6977677289855,101.63198031851641,308.98401461241997,120.00929881852305,432.6977677289855,490.3588481327195,336.171811074236,373.892184486543,279.09691410215925,257.2461375581765,141.30682878253637,451.0954505860355,315.2579735177595,306.40000848343385,336.01694780903625,343.55473867913287,434.07204934326353,424.15777290726004,308.79349546021604,424.15777290726004,355.9693344775398,451.0954505860355
aht,maneuvering,756.6009817671471,2151.6180989696345,597.4895608610706,2490.4520902260947,756.6009817671471,851.6458906056586,2179.330625472154,1724.6077042371007,1773.3758500090873,1231.790985289939,2898.9675559845155,791.279525176643,2066.8106669832464,2070.638743448836,1562.7496380639168,2230.346489910974,825.8208563015642,742.9165640413095,2019.743957138265,742.9165640413095,1680.018303321623,791.279525176643
aht,transit,11274.808540873442,32063.244303886895,8903.742614957886,37112.52188958836,11274.808540873442,12691.16032439358,32476.21420219448,25699.968863340597,26426.707950023116,18356.05273612,43200.18734787806,11791.585477251738,30799.450598179086,30856.496293690267,23287.972644889593,33236.44861631247,12306.317686917642,11070.884420273189,30098.066176351404,11070.884420273189,25035.50110505135,11791.585477251738
clv,idle at port,114.10846185150669,119.90238556660931,121.21385694373119,118.72367456274304,114.10846185150669,95.76220206296323,83.37063275034828,116.39798398161366,108.56737935859091,128.31015349692169,103.67479061511783,109.94433408390606,90.43081447483146,67.81812100441482,111.89987267304855,92.26673866060128,103.82464084842218,1704.6675305396752,82.88282358287091,1704.6538030714794,117.08150035184319,109.94433408390606
clv,idle at site,399.2042621534455,417.6250461772296,413.13640171541306,416.36923282041664,399.2042621534455,317.974688055838,315.9057197259404,369.48713590978286,419.47419601573074,407.95113453582024,340.80855991455445,371.0317322373765,346.2689072864232,241.22005564154054,340.0057159736735,348.9924034396797,337.36962235529427,30.76289514050512,309.23782117074103,30.76289514050512,353.7558863405479,371.0317322373765
clv,maneuvering,133.5050607027396,147.78777176570205,168.92505703333634,135.0640385109488,133.5050607027396,251.47656428391142,234.98082437956316,341.2495284635049,282.8845647574514,243.47931303835998,328.8273322890063,287.6560329509996,252.94387663453762,2268.659125855701,318.7464645764576,236.52590848947227,390.52608418870636,1.8278704451188084,1411.3907314854134,1.8594477681367902,214.17631908274208,287.6560329509996
clv,transit,1950.4859475086869,2159.153896678524,2467.9659946318784,1973.2623448331337,1950.4859475086869,3674.0293003250085,3433.02938086256,4985.596848227744,4132.894778835884,3557.1908367414003,4804.11070120067,4202.605107504416,3695.466481098813,33144.71916927179,4656.830959829661,3455.6027936473147,5705.518842028701,26.704872446812974,20620.175547770934,27.16621169854107,3129.079140978607,4202.605107504416
ctv,idle at port,47.23952566422692,45.98708534854249,45.97545079934296,46.967426431701135,47.23952566422692,38.60975653739223,39.76566160313363,37.37895221336174,41.03682768223368,42.43133440609617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctv,idle at site,38.981616689246316,38.75092098810617,36.44476427556797,38.819404781795484,38.981616689246316,37.000416873267284,37.20235264022853,35.9204276405206,37.55737710085075,37.19518874550881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctv,maneuvering,236.2990941329191,270.3165520062417,299.2834454090436,245.08345216700175,236.2990941329191,475.56166073296407,444.3027096324768,519.602164838543,408.2734812533547,378.09540518183144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctv,transit,5465.952070351354,6252.826835881294,6922.874478457657,5669.147432395753,5465.952070351354,11000.453698738698,10277.387327656419,12019.176540138162,9443.977296294857,8745.913183998357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsv,idle at port,1.7106515587601838,1.6054211347934986,1.6244410071604614,1.4023436294070608,1.7106515587601838,1.7891351093640953,1.7063656382295727,1.7726980543595772,1.5806604918725937,1.633478618133184,1.9917993594686731,2.258249057284053,2.1872812671848183,0.7188364398514082,2.055803607348088,2.0982052448624606,2.2156159929537274,9.012443658451032,1.1448547497552204,9.012349738681031,2.322755895968016,2.258249057284053
dsv,idle at site,1.5381054729240262,1.4242395400829144,1.4492230685304144,1.4076647781213878,1.5381054729240262,2.0588070167087484,1.6483484892874982,1.6612980157647206,1.5095101399058322,1.886449261840693,3.030393268256662,2.9509207165394438,3.078206644335276,2.519995312655138,2.9595273232816655,2.945085387180739,3.1494474953880505,0.25462693200000003,3.1779742727716656,0.25462693200000003,3.0030519864061103,2.9509207165394438
dsv,maneuvering,4.957544561345445,5.698113582544928,6.0411094289801825,4.728569365578981,4.957544561345445,11.324807555477767,10.923129269999675,13.490114441554049,9.965721471297408,9.254549902551489,33.956278730037866,24.901313414395283,27.102074619308553,109.55402391830573,32.37360042346707,23.965966861211022,41.41489371180842,0.1325162315365164,109.97283615825218,0.13485203327124343,23.17768549100217,24.901313414395283
dsv,transit,114.67543309202313,131.80590407210408,139.73991187617173,109.37889376354478,114.67543309202313,261.95976557309575,252.66834503599816,312.04655790856367,230.522068264647,214.07160440304963,785.4596002872343,576.004686396808,626.911590244599,2534.1487069550435,748.8498798892597,554.3687192864234,957.9885393047914,3.0652989711198155,2543.8364615290675,3.11932956473978,536.134590191164,576.004686396808
sov,idle at port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0937153031224,809.2756882658861,805.7060876212829,824.7090902071075,814.0097181383393,809.974321230444,806.7415578830822,809.5914891368974,807.0787684659123,809.5924231168324,818.648239891708,809.2756882658861
sov,idle at site,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.5511948598186,535.5778944250903,509.96631740263075,478.13585227889797,523.5511697103088,497.16135217741635,520.644167540176,527.2676419125513,516.2620789709231,527.2676419125513,521.1665840280414,535.5778944250903
sov,maneuvering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.53831351723638,76.284119094577,105.82145493509044,100.32895139525426,78.5917265845754,109.67113699850758,94.32354861937944,83.20767762570536,97.6674264156842,83.20767762570536,72.37554792145889,76.284119094577
sov,transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.4013298287493,917.3195915950248,1272.507239713925,1206.4596643627544,945.0686642121254,1318.7998209234727,1134.244455127668,1000.5756606109732,1174.4547197391921,1000.5756606109732,870.318866479492,917.3195915950248
tug,idle at port,14.326629549609974,36.08097773813163,8.31435547305999,32.516987992894975,14.326629549609974,16.745252046401635,19.006556029684983,17.26804543082498,20.345173640434986,17.577698912514986,27.81855989788164,14.467873288656648,26.971880708103313,23.20447600784053,21.61484950199165,21.499680094153305,13.478103850773302,9.316920609978327,26.84522641974831,9.316920609978327,17.206396377846644,14.467873288656648
tug,idle at site,238.54377664823954,249.24555876065943,195.61021711459622,247.18897784541275,238.54377664823954,309.00536106878616,156.21456082019637,295.30378498107626,158.93176991911298,325.7255533493961,267.1385805464129,292.0416974377461,177.7928819089265,166.2032847137205,273.4342105690527,178.43871367055957,308.85449113306606,284.70431164527287,184.4442591492664,284.70431164527287,265.9049663980262,292.0416974377461
tug,maneuvering,59.92255933856987,235.80709540856517,70.19036069935827,229.88609588009163,59.92255933856987,78.8848444620973,166.8046765312755,144.785476026366,160.50229397255413,144.40619539120706,253.05271819677017,75.42462350326338,186.2575836190635,171.10850453855974,151.97422900414327,183.7631511338692,89.364473465603,70.92606111025698,182.896316013539,70.92606111025698,146.7337134307699,75.42462350326338
tug,transit,892.9612835599413,3513.9788572588577,1045.9712548240782,3425.744586272032,892.9612835599413,1175.535770531758,2485.710218376721,2157.5818179401963,2391.7926073594085,2151.929807636575,3770.9717766322788,1123.9718289560426,2775.595915413406,2549.845526080978,2264.708051483754,2738.4240779899174,1331.7023807282471,1056.9346046956985,2725.50656895444,1056.9346046956985,2186.6142990711587,1123.9718289560426
