agent,phase,action,duration
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9300.0
Towing Group 2,MooredSubInstallation,Delay,135709.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Turbine Assemblies,158667.57845454544
Towing Group 2,MooredSubInstallation,Position Substructure,930.0
Towing Group 2,MooredSubInstallation,Tow Substructure,22909.606727272727
Towing Group 2,MooredSubInstallation,Transit,21000.472833333333
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,2688.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,2688.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,2688.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",8960.0
Towing Group 3,MooredSubInstallation,Delay,129667.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Turbine Assemblies,160003.67395454543
Towing Group 3,MooredSubInstallation,Position Substructure,896.0
Towing Group 3,MooredSubInstallation,Tow Substructure,22219.41527272727
Towing Group 3,MooredSubInstallation,Transit,20367.797333333332
Turbine Assembly Line 1,MooredSubInstallation,Delay,96399.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,6142.5
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,99792.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,14553.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,16632.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,33264.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,16632.0
